1|2182088
2|311201
4|2864335
5|1324369
6|13720462
8|2224603
9|1494019
10|409757
11|298902
12|9026965
13|4102992
15|522305
16|674394
17|5297318
18|2800614
19|1340529
20|1237651
21|1932599
22|1978848
23|725577
24|2391350
25|2818940
26|4525480
27|2354034
28|1281711
29|2723415
30|489157
31|801185
32|1183873
33|617704
34|3562553
35|908132
36|8119364
37|4362740
38|320909
39|5133446
40|1674685
41|1684193
42|5579275
44|464728
45|2157033
46|366540
47|2829025
48|10098750
49|993060
50|324389
51|3387654
53|2907490
54|881752
55|2634781
56|265528
